category,date,sales
Cafe Beverages,2021-01-19 16:00:00,13570.41
Cafe Beverages,2021-01-19 17:00:00,14443.4
Cafe Beverages,2021-01-19 18:00:00,11716.41
Cafe Beverages,2021-01-19 19:00:00,9842.6
Cafe Beverages,2021-01-19 20:00:00,7440.13
Cafe Beverages,2021-01-19 21:00:00,4025.68
Cafe Beverages,2021-01-19 22:00:00,2598.72
Cafe Beverages,2021-01-19 23:00:00,441.61
Cafe Beverages,2021-01-20 0:00:00,238
Cafe Beverages,2021-01-20 1:00:00,150.48
Cafe Beverages,2021-01-20 5:00:00,357
Cafe Beverages,2021-01-20 7:00:00,238
Cafe Beverages,2021-01-20 8:00:00,1640.22
Cafe Beverages,2021-01-20 9:00:00,410.22
Cafe Beverages,2021-01-20 10:00:00,3844.54
Cafe Beverages,2021-01-20 11:00:00,3315.25
Cafe Beverages,2021-01-20 12:00:00,7207.38
Cafe Beverages,2021-01-20 13:00:00,10035.88
Cafe Beverages,2021-01-20 14:00:00,9192.58
Cafe Beverages,2021-01-20 15:00:00,10172.85
Cafe Beverages,2021-01-20 16:00:00,14021.07
Cafe Beverages,2021-01-20 17:00:00,13751.56
Cafe Beverages,2021-01-20 18:00:00,10189.88
Cafe Beverages,2021-01-20 19:00:00,12492.15
Cafe Beverages,2021-01-20 20:00:00,7282.08
Cafe Beverages,2021-01-20 21:00:00,4250.17
Cafe Beverages,2021-01-20 22:00:00,1634.89
Cafe Beverages,2021-01-20 23:00:00,507.3
Cafe Beverages,2021-01-21 0:00:00,76.18
Cafe Beverages,2021-01-21 1:00:00,110.57
Cafe Beverages,2021-01-21 2:00:00,460.69
Cafe Beverages,2021-01-21 5:00:00,238
Cafe Beverages,2021-01-21 6:00:00,464.59
Cafe Beverages,2021-01-21 7:00:00,1394.18
Cafe Beverages,2021-01-21 8:00:00,509.33
Cafe Beverages,2021-01-21 9:00:00,1001.32
Cafe Beverages,2021-01-21 10:00:00,2778.57
Cafe Beverages,2021-01-21 11:00:00,5206.87
Cafe Beverages,2021-01-21 12:00:00,4438.68
Cafe Beverages,2021-01-21 13:00:00,9079.1
Cafe Beverages,2021-01-21 14:00:00,11632.98
Cafe Beverages,2021-01-21 15:00:00,9764.77
Cafe Beverages,2021-01-21 16:00:00,12793.37
Cafe Beverages,2021-01-21 17:00:00,10834.16
Cafe Beverages,2021-01-21 18:00:00,12705.43
Cafe Beverages,2021-01-21 19:00:00,12874.4
Cafe Beverages,2021-01-21 20:00:00,7763.18
